iter	Logloss
0	0.6863181224
1	0.6804598319
2	0.674708598
3	0.6696551919
4	0.6646486223
5	0.659675432
6	0.6540027628
7	0.6482294863
8	0.6450028317
9	0.6399881897
10	0.6345488247
11	0.6295114513
12	0.6244177403
13	0.6202169346
14	0.6159612565
15	0.613099124
16	0.6098642327
17	0.604836196
18	0.6005688595
19	0.5968701788
20	0.5928608867
21	0.5895924039
22	0.5851642398
23	0.5805088943
24	0.57732724
25	0.5736944757
26	0.5700268403
27	0.5661253681
28	0.5630163962
29	0.5609246158
30	0.5572798
31	0.5541172921
32	0.5522751496
33	0.5486828973
34	0.5460005162
35	0.5432402939
36	0.5403484466
37	0.5376841442
38	0.5350300098
39	0.5327488654
40	0.5294688892
41	0.5266601764
42	0.5248686303
43	0.5223039487
44	0.5204340515
45	0.5178224365
46	0.5152729962
47	0.5126070734
48	0.5105728618
49	0.5080200028
50	0.5057471734
51	0.5032636851
52	0.5009235059
53	0.4990427282
54	0.4973350209
55	0.4955541821
56	0.4938900477
57	0.4924706023
58	0.4904873859
59	0.4883319714
60	0.4864618749
61	0.4852209248
62	0.4843676557
63	0.4824345182
64	0.4808291739
65	0.4792468848
66	0.47793441
67	0.4765656792
68	0.4749967066
69	0.4741745506
70	0.4729328183
71	0.4711208312
72	0.4703723002
73	0.4692754576
74	0.4682292446
75	0.4667540073
76	0.4655932642
77	0.4645839032
78	0.4628259811
79	0.4612354119
80	0.4599538272
81	0.4586581229
82	0.4576767517
83	0.4566875228
84	0.455302881
85	0.4540742214
86	0.4531655635
87	0.4520860779
88	0.4511944993
89	0.4500795693
90	0.448648916
91	0.4474462084
92	0.446217145
93	0.445068283
94	0.4442743154
95	0.4429780084
96	0.4420663367
97	0.4411141222
98	0.4406884167
99	0.4400106916
100	0.4390966709
101	0.438659527
102	0.4378630084
103	0.4373147191
104	0.436507122
105	0.4361529282
106	0.4355169165
107	0.4348547956
108	0.4340940076
109	0.4332709055
110	0.4323047286
111	0.4315811905
112	0.4306722118
113	0.430044111
114	0.4291486534
115	0.4283452942
116	0.4274646725
117	0.4264831215
118	0.425643116
119	0.4246887302
120	0.423746423
121	0.4231327216
122	0.4227113851
123	0.4221857196
124	0.4214224648
125	0.4207895773
126	0.4198310247
127	0.4193601866
128	0.4184693625
129	0.4180254326
130	0.4177800197
131	0.4172636418
132	0.4168541726
133	0.4163292052
134	0.4160841494
135	0.4153770524
136	0.4148244796
137	0.4141168855
138	0.4134748801
139	0.4127745323
140	0.4123198321
141	0.4119612093
142	0.4113403724
143	0.410995779
144	0.4107774642
145	0.4102507248
146	0.409629324
147	0.4092843858
148	0.4086246275
149	0.4081098135
150	0.4075588454
151	0.4072846155
152	0.4069093888
153	0.4065206667
154	0.4060712526
155	0.4056270847
156	0.4054246723
157	0.4048354671
158	0.404442666
159	0.4040662698
160	0.4035308775
161	0.4030587116
162	0.4025272518
163	0.4019854128
164	0.4017350064
165	0.401353564
166	0.4010631311
167	0.4007336556
168	0.4005542066
169	0.4003452112
170	0.4000636098
171	0.3996045594
172	0.3995148371
173	0.3991570264
174	0.3986333085
175	0.3984115095
176	0.3979188406
177	0.3976973803
178	0.3974899342
179	0.3972786471
180	0.3970668013
181	0.3967513835
182	0.3963590345
183	0.3959448613
184	0.3956040864
185	0.3953484694
186	0.3951038935
187	0.3948380022
188	0.3945131982
189	0.3941677816
190	0.3937918927
191	0.3936021669
192	0.3932113659
193	0.3929701177
194	0.392803222
195	0.3924165455
196	0.3923779775
197	0.3922097352
198	0.3919002307
199	0.3917987903
200	0.3916297866
201	0.3915774754
202	0.391254246
203	0.3909832333
204	0.3907353508
205	0.3904906704
206	0.3902615026
207	0.3901433162
208	0.3899598377
209	0.3897218681
210	0.3895412525
211	0.3893565665
212	0.3892021051
213	0.3889842418
214	0.3889304018
215	0.3887784579
216	0.3887071315
217	0.3886863309
218	0.3885800645
219	0.3883887379
220	0.3881947888
221	0.3879999968
222	0.387705191
223	0.3875286167
224	0.387243724
225	0.3870771866
226	0.3869213555
227	0.3865439036
228	0.3862051977
229	0.3860260227
230	0.3858658236
231	0.3857005304
232	0.3854380867
233	0.385340263
234	0.38518962
235	0.3851310139
236	0.3848567448
237	0.3846718893
238	0.3844895155
239	0.3843211624
240	0.3840358391
241	0.3838699405
242	0.3836306032
243	0.3834505513
244	0.3833464533
245	0.3830477453
246	0.3829222059
247	0.3827536038
248	0.3825421558
249	0.3823578445
250	0.3822092439
251	0.3819994866
252	0.3819751276
253	0.3817411129
254	0.3815302126
255	0.3814153207
256	0.3813657895
257	0.3811324011
258	0.3809705158
259	0.3809228587
260	0.3807359499
261	0.380531656
262	0.3802780632
263	0.3802259217
264	0.3801876863
265	0.3799580378
266	0.379836016
267	0.3796812035
268	0.3795310037
269	0.3794181256
270	0.3792839116
271	0.3792680972
272	0.3791589028
273	0.3791319378
274	0.3790600098
275	0.3789765801
276	0.3788311032
277	0.3787710978
278	0.3786565144
279	0.3785424121
280	0.3784408488
281	0.3782921597
282	0.378014057
283	0.3779434121
284	0.377765182
285	0.3776831404
286	0.3776751575
287	0.3775052099
288	0.3773206438
289	0.377212277
290	0.3770772003
291	0.3770000313
292	0.3768821862
293	0.3767903768
294	0.3766202462
295	0.3764910895
296	0.3764220823
297	0.3763640535
298	0.3761920455
299	0.3760375836
300	0.3759290375
301	0.3758217293
302	0.3756320621
303	0.37552698
304	0.3754365345
305	0.37522481
306	0.3751101099
307	0.3750747976
308	0.3748966835
309	0.3747988055
310	0.3747295848
311	0.3746270525
312	0.3744181336
313	0.3743018412
314	0.3741740906
315	0.3741663306
316	0.3740928508
317	0.3740349138
318	0.3740236632
319	0.3738754588
320	0.373727564
321	0.3735995679
322	0.3734804281
323	0.3733560885
324	0.3733062334
325	0.3731725971
326	0.3731688365
327	0.373018243
328	0.3729651344
329	0.3728980837
330	0.3728617385
331	0.3727034396
332	0.3725374992
333	0.3724324477
334	0.3722914516
335	0.3722065811
336	0.3720446567
337	0.3718589001
338	0.3718237763
339	0.3717724098
340	0.3716698747
341	0.3715896752
342	0.3715500386
343	0.3714264249
344	0.3712946559
345	0.3711689411
346	0.3711162927
347	0.3710657913
348	0.3708566818
349	0.3707038048
350	0.3706066153
351	0.3705550982
352	0.3705521855
353	0.3704645251
354	0.3704248748
355	0.370408373
356	0.3702362911
357	0.3701057066
358	0.3700651486
359	0.3700172664
360	0.3699242204
361	0.3697979488
362	0.3697253455
363	0.3696371409
364	0.369557563
365	0.3694741789
366	0.3693629346
367	0.3692178832
368	0.3691441366
369	0.3690204316
370	0.3689630507
371	0.3688885165
372	0.3687545951
373	0.3685687243
374	0.3685491211
375	0.3684251946
376	0.3682869002
377	0.3682328811
378	0.3681081648
379	0.3679530394
380	0.367894789
381	0.367848616
382	0.367822888
383	0.367698304
384	0.3676429502
385	0.3676289533
386	0.3675307179
387	0.3674583782
388	0.3674166903
389	0.3673278552
390	0.3672390944
391	0.3671946728
392	0.3671206832
393	0.3670370467
394	0.3670042544
395	0.3669857335
396	0.3668853588
397	0.3668226878
398	0.3667581447
399	0.3666374307
400	0.3665969465
401	0.3665379109
402	0.3664257628
403	0.3663373323
404	0.3662313078
405	0.3662215078
406	0.3661459593
407	0.3661344665
408	0.3659757485
409	0.3659724277
410	0.3658677459
411	0.3658064297
412	0.3657790271
413	0.3657238553
414	0.365671229
415	0.3655174234
416	0.3654433362
417	0.3654325841
418	0.3654088607
419	0.3652477047
420	0.3651957944
421	0.3651351349
422	0.3650434803
423	0.3649749243
424	0.3648347797
425	0.3647339853
426	0.3646386919
427	0.3645483197
428	0.3645312067
429	0.3644632867
430	0.3644097128
431	0.3643221149
432	0.364260571
433	0.3642278835
434	0.3640765124
435	0.3639932098
436	0.3639237522
437	0.363859743
438	0.3637855646
439	0.3637727127
440	0.363740493
441	0.3637225464
442	0.3636341381
443	0.3635863796
444	0.3635689097
445	0.3634864011
446	0.3634137078
447	0.36337641
448	0.3632920096
449	0.3632035833
450	0.3631692145
451	0.3630882381
452	0.3630367298
453	0.3629586117
454	0.3629245241
455	0.362876116
456	0.3628559686
457	0.3627631645
458	0.3626652709
459	0.3626316775
460	0.3625402074
461	0.362501494
462	0.3624721902
463	0.3624709932
464	0.362379674
465	0.3623359032
466	0.3622631813
467	0.3621580858
468	0.3621569521
469	0.3620006179
470	0.3619812034
471	0.3618609016
472	0.3617603849
473	0.3616333181
474	0.3615938164
475	0.361552569
476	0.3615291901
477	0.3614661648
478	0.3613361377
479	0.3612511128
480	0.361221784
481	0.3611534405
482	0.3610669225
483	0.3609900479
484	0.3609856836
485	0.3609282272
486	0.3608135194
487	0.3607501276
488	0.3607060873
489	0.3606543329
490	0.3606230051
491	0.3605655392
492	0.3605152624
493	0.3604631969
494	0.3603690389
495	0.360363989
496	0.3602559349
497	0.3602509719
498	0.3602369337
499	0.3602332746
500	0.3601457168
501	0.3601001699
502	0.360047099
503	0.3600201793
504	0.3600012811
505	0.3599335928
506	0.3599046612
507	0.3598458598
508	0.3597858685
509	0.3597737427
510	0.3597220228
511	0.3597211073
512	0.3596656656
513	0.3596185184
514	0.3596162083
515	0.3595856714
516	0.3595183416
517	0.3594165907
518	0.3593035788
519	0.359236099
520	0.3592058635
521	0.3591377781
522	0.359109378
523	0.3590160456
524	0.3589164612
525	0.3588642256
526	0.3587945236
527	0.358704788
528	0.3587038315
529	0.3586959995
530	0.3586544615
531	0.3586309887
532	0.3585497118
533	0.3585397794
534	0.3584688115
535	0.3584469159
536	0.3583872908
537	0.358374892
538	0.3583566963
539	0.3583550144
540	0.3582532172
541	0.3581912545
542	0.3581608632
543	0.3581413873
544	0.3580703254
545	0.3580442358
546	0.3579298146
547	0.3578515977
548	0.3577914068
549	0.3577676553
550	0.3576796494
551	0.3576512104
552	0.3576304652
553	0.3575606089
554	0.3575136673
555	0.3575103167
556	0.3574215797
557	0.3574112005
558	0.3573912697
559	0.3573411644
560	0.3572808857
561	0.3572227415
562	0.3571949538
563	0.3571888296
564	0.3571878035
565	0.357151986
566	0.3571416976
567	0.3570887788
568	0.3570561734
569	0.3569834948
570	0.3569773377
571	0.3569399207
572	0.3568711623
573	0.3568448664
574	0.3567775179
575	0.3567651283
576	0.3567513155
577	0.3567399127
578	0.3567061443
579	0.3566700367
580	0.356669622
581	0.3566334373
582	0.3565743516
583	0.3565734189
584	0.3564746725
585	0.3564728024
586	0.3564055175
587	0.3563711737
588	0.3562947207
589	0.3562489334
590	0.3562454526
591	0.3561993508
592	0.356136998
593	0.3561204144
594	0.3560253734
595	0.3559840866
596	0.3559164399
597	0.3559143072
598	0.3558757572
599	0.3557628462
600	0.3557062738
601	0.3556900291
602	0.355612656
603	0.3555933158
604	0.3554929321
605	0.3554603122
606	0.3554552483
607	0.3554083762
608	0.3553288383
609	0.3553106503
610	0.3552541886
611	0.3552347548
612	0.355112202
613	0.3550335145
614	0.3549847667
615	0.3549217334
616	0.3549110744
617	0.3548915954
618	0.3548481783
619	0.3547823092
620	0.3547817756
621	0.354751657
622	0.3547467444
623	0.3547226932
624	0.3546695555
625	0.3546408678
626	0.3545818545
627	0.3545388295
628	0.3545302196
629	0.3545150796
630	0.3544907244
631	0.3544795716
632	0.354417213
633	0.354397542
634	0.3543622393
635	0.3543305178
636	0.3543276226
637	0.3542865437
638	0.3542447646
639	0.3541533658
640	0.3540908531
641	0.3540854488
642	0.354031843
643	0.3540102821
644	0.3539569286
645	0.3539010508
646	0.3538427174
647	0.3537439332
648	0.353697708
649	0.3536579985
650	0.3536356153
651	0.3536346457
652	0.3535920717
653	0.3535656429
654	0.3534642554
655	0.3534619354
656	0.3533794492
657	0.3533409093
658	0.3533169616
659	0.353249244
660	0.3532255871
661	0.3531842844
662	0.3530949102
663	0.3530402364
664	0.3529838465
665	0.3529398097
666	0.3528822894
667	0.3528531983
668	0.3528388328
669	0.3528275097
670	0.3527936308
671	0.3527075987
672	0.3526573683
673	0.3526204967
674	0.3525357316
675	0.3525314095
676	0.3525264242
677	0.3524628328
678	0.3523699065
679	0.3523459829
680	0.3522926111
681	0.3522340096
682	0.3522081331
683	0.3521241557
684	0.3520717655
685	0.3520579346
686	0.3519791588
687	0.3519563188
688	0.3519540294
689	0.3519107133
690	0.3519088942
691	0.3518333918
692	0.3518218878
693	0.351801056
694	0.3517946299
695	0.3517436495
696	0.3516984338
697	0.3516562363
698	0.3516554563
699	0.3515999006
700	0.3515648042
701	0.3515319741
702	0.351498691
703	0.3513985503
704	0.3513490505
705	0.3513062798
706	0.3512831065
707	0.3511886219
708	0.3511545612
709	0.3510929635
710	0.3510580171
711	0.3509856546
712	0.3509269152
713	0.350847984
714	0.3508191985
715	0.3507387518
716	0.3507142509
717	0.3506823376
718	0.3506578318
719	0.3506206234
720	0.3505915761
721	0.3505056154
722	0.3504823209
723	0.3504640321
724	0.3504253486
725	0.3504016617
726	0.3504016232
727	0.3503768518
728	0.350282793
729	0.3502202492
730	0.3501382967
731	0.3501227017
732	0.3500379007
733	0.3500050571
734	0.3500014162
735	0.3499756143
736	0.3499751722
737	0.3499434393
738	0.3499283238
739	0.3498456161
740	0.3497932765
741	0.3497886437
742	0.349759735
743	0.3497178389
744	0.3496824324
745	0.3496546711
746	0.3496002583
747	0.3495399656
748	0.3495270237
749	0.3494823939
750	0.3494387557
751	0.3494176201
752	0.3494008009
753	0.3493798965
754	0.3493521716
755	0.3492782723
756	0.3492451062
757	0.3491892634
758	0.3491687813
759	0.3490920091
760	0.3490542851
761	0.3489992694
762	0.348966351
763	0.3489394032
764	0.3489147202
765	0.3488976625
766	0.3488892865
767	0.3488618406
768	0.3488544788
769	0.3487968572
770	0.3487584095
771	0.3486939095
772	0.3486675488
773	0.3486675488
774	0.3486473748
775	0.3485465079
776	0.348487567
777	0.3484091126
778	0.3483102302
779	0.3482801196
780	0.3482485211
781	0.3482176853
782	0.3482004808
783	0.3481731541
784	0.3481340882
785	0.3481052527
786	0.3480858401
787	0.3480787509
788	0.3480141974
789	0.3479385857
790	0.3478936239
791	0.3478280304
792	0.3477977689
793	0.3477564349
794	0.3477073674
795	0.347686032
796	0.3476006468
797	0.3475315719
798	0.3474857873
799	0.3474524608
800	0.3474298491
801	0.3473866408
802	0.3473658062
803	0.3473215653
804	0.3472722527
805	0.3472235821
806	0.3471544239
807	0.347121702
808	0.3470814013
809	0.3470418542
810	0.3469654629
811	0.3469446133
812	0.3468828566
813	0.346882133
814	0.3468247976
815	0.3467877767
816	0.346782996
817	0.3467547992
818	0.3467228193
819	0.3466633067
820	0.3466390869
821	0.346586498
822	0.3465324127
823	0.3465015157
824	0.3464260398
825	0.346387916
826	0.3463357576
827	0.3462904571
828	0.3462643683
829	0.3462133574
830	0.3461950698
831	0.346172312
832	0.3461257863
833	0.3460938007
834	0.3460321078
835	0.3460141909
836	0.3460105412
837	0.3459611996
838	0.3459338369
839	0.3459015899
840	0.3458749107
841	0.3458346756
842	0.3457934247
843	0.3457428123
844	0.3457269209
845	0.3457215938
846	0.3456900185
847	0.3456670412
848	0.3456342127
849	0.3455893404
850	0.3455803258
851	0.345542249
852	0.345510231
853	0.3454973284
854	0.3454825288
855	0.3454548198
856	0.3454144509
857	0.3454001324
858	0.3453506166
859	0.3452980599
860	0.3452429954
861	0.3452283598
862	0.3451806396
863	0.3451466889
864	0.3451037083
865	0.3450640245
866	0.3450075297
867	0.3449853716
868	0.3449303621
869	0.3448909877
870	0.3448443913
871	0.3447831387
872	0.3446915652
873	0.344638474
874	0.3446118563
875	0.3445636611
876	0.344535969
877	0.3445148859
878	0.3445147486
879	0.3445055865
880	0.3444829632
881	0.344453593
882	0.3444273526
883	0.3444119589
884	0.3443778778
885	0.3443702305
886	0.3443440615
887	0.3442986432
888	0.3442677657
889	0.3442137257
890	0.3442091209
891	0.3441532341
892	0.3441167692
893	0.344098745
894	0.3440983597
895	0.3440323404
896	0.3440029806
897	0.343951057
898	0.3438793366
899	0.3438508536
900	0.3438269282
901	0.3437755877
902	0.3437593422
903	0.3437180019
904	0.343649763
905	0.3436025595
906	0.3435687397
907	0.343532395
908	0.3435077682
909	0.343459053
910	0.343450156
911	0.343449386
912	0.3434029794
913	0.3433490092
914	0.3433008684
915	0.3432558401
916	0.3431965408
917	0.3431348886
918	0.3431060352
919	0.3430388585
920	0.3430065123
921	0.3429721777
922	0.3429289855
923	0.3429068321
924	0.3428661572
925	0.3427916797
926	0.3427654419
927	0.3427254989
928	0.342681727
929	0.3426809956
930	0.3426420164
931	0.3426029142
932	0.3425669673
933	0.3425324967
934	0.3424689689
935	0.342406788
936	0.3423621558
937	0.3423232754
938	0.3423037666
939	0.3422803825
940	0.3422610491
941	0.342233917
942	0.3421898734
943	0.342154954
944	0.3421245723
945	0.3421031989
946	0.3420461245
947	0.342030932
948	0.341998336
949	0.3419679426
950	0.3419346264
951	0.3418964455
952	0.3418637807
953	0.341842997
954	0.3417872718
955	0.3417283383
956	0.3416801672
957	0.3416338965
958	0.3416042232
959	0.3415570328
960	0.3415248545
961	0.3414973634
962	0.3414968559
963	0.3414735863
964	0.3414662739
965	0.3414355482
966	0.3414066178
967	0.3413550852
968	0.3413389379
969	0.341322415
970	0.3413015892
971	0.3412559947
972	0.3412372216
973	0.3411964219
974	0.3411770785
975	0.3411556007
976	0.3411109406
977	0.3410738623
978	0.3410620342
979	0.341040222
980	0.3409977256
981	0.3409800622
982	0.3409570561
983	0.3409240975
984	0.340884344
985	0.3408406746
986	0.3408239737
987	0.3408008082
988	0.340744985
989	0.3407218545
990	0.3406957363
991	0.3406768729
992	0.3406498927
993	0.3406083708
994	0.3405646697
995	0.3405449081
996	0.3405105898
997	0.34049471
998	0.3404932464
999	0.3404660501
